category,style,color,waist_type,thickness,type_version,length,matching_id,url,model,id
裤装,运动裤,黑色,正常,,正常,长裤,57315,http://item.yohobuy.com/product/pro_427849_541527/ADIDASORIGINALSREGULARTPOHAY7947Nv.html,直筒裤,57f7c9d8f90a8310f062a747
裤装,短裤,黑色,正常,薄,,短裤,57607,http://item.yohobuy.com/product/pro_546280_677346/ROARINGWILDHeiSeDaZheKuoTuiXiZhuangDuanKuYing16SSBOYSCOUTSTRST161091.html,,57f7c9d9f90a8310f062a749
裤装,休闲裤,蓝色,正常,中,正常,长裤,57617,http://item.yohobuy.com/product/pro_550008_681654/KRBLLanBuWu700PDXiuXianNiuZaiKu.html,,57f7c9d9f90a8310f062a74d
裤装,休闲裤,黑色,正常,中,正常,长裤,57491,http://item.yohobuy.com/product/pro_583188_720460/FAIRWHALE%20JEANS%20zhenzhizhangku%20716323018001311.html,窄脚裤,57f7c9d9f90a8310f062a74c
裤装,休闲裤,,正常,中,正常,长裤,57675,http://item.yohobuy.com/product/pro_581410_718412/chichaqu%20xiuxianku%20S06603.html,,57f7c9d9f90a8310f062a752
裤装,休闲裤,灰色,正常,中,正常,长裤,57619,http://item.yohobuy.com/product/pro_366989_466487/CONNIVEXiuXianKuC16429GA.html,,57f7c9d9f90a8310f062a751
裤装,休闲裤,蓝色,正常,中,正常,长裤,57675,http://item.yohobuy.com/product/pro_582904_720086/CHUMSSWEATFATIGUEPANTSMIDNIGHTNAVYCH0310437523.html,,57f7c9daf90a8310f062a757
裤装,休闲裤,黑色,正常,中,正常,长裤,57675,http://item.yohobuy.com/product/pro_530280_658648/THETHINGFenGeXiaoJiaoKu1630750110A0.html,工装裤,57f7c9dbf90a8310f062a75a
裤装,牛仔裤,灰色,正常,中,修身,长裤,57665,http://item.yohobuy.com/product/pro_555018_687288/NOISEZhongXiShuiPoHuaiZhaiTuiNiuZaiKuNS16FWPAN01.html,,57f7c9dbf90a8310f062a75b
裤装,牛仔裤,蓝色,正常,薄,宽松,,57665,http://item.yohobuy.com/product/pro_583810_721782/TYAKASHANanKuanLanSeZhaiTuiZhiTongJiuFenNiuZaiKuSBM13T16QKSBM13B.html,,57f7c9dbf90a8310f062a75f
裤装,连体裤,蓝色,正常,中,正常,长裤,57665,http://item.yohobuy.com/product/pro_582908_720090/CHUMSHURRICANECOVERALLBOOBYINDIGOCH041048N030.html,工装裤,57f7c9dcf90a8310f062a760
裤装,休闲裤,黑色,正常,,正常,长裤,57665,http://item.yohobuy.com/product/pro_549628_681246/VIISHOWK15175301XiuXianChangKu.html,,57f7c9dcf90a8310f062a761
裤装,休闲裤,黑色,正常,中,正常,9分裤,57225,http://item.yohobuy.com/product/pro_482504_604672/LESSISGOODLGMA6039P36XiuXianJiuFenKu.html,,57f7c9def90a8310f062a768
裤装,休闲裤,黑色,正常,中,正常,长裤,57253,http://item.yohobuy.com/product/pro_564562_697720/VALKOMM%20choushengxiushenxiaojiaoku%2015PTS076-heise.html,窄脚裤,57f7c9dff90a8310f062a76e
裤装,休闲裤,黑色,正常,中,正常,长裤,57731,http://item.yohobuy.com/product/pro_549622_681240/VIISHOWK11245301XiuXianChangKu.html,,57f7c9dff90a8310f062a76d
裤装,休闲裤,黑色,正常,中,正常,长裤,57489,http://item.yohobuy.com/product/pro_575192_710966/NBA%20STYLE%20xiuxianku%20N163TP951P19:BLACKnan.html,,57f7c9dff90a8310f062a76f
裤装,牛仔裤,蓝色,,,,,57487,http://item.yohobuy.com/product/pro_467262_586136/DIAMONDSUPPLYCOXiuXianKuD14DBA01LanSe.html,,57f7c9e0f90a8310f062a770
裤装,休闲裤,,正常,中,正常,长裤,57737,http://item.yohobuy.com/product/pro_593890_733468/CHRIS.CHRISTY%20837187%20nanshishangwuhanbanxiuxianzhangku.html,,57f7c9e0f90a8310f062a772
裤装,休闲裤,蓝色,正常,中,宽松,9分裤,57145,http://item.yohobuy.com/product/pro_582106_719194/KORAKUBLUE710TCBKuoTuiXiuXianJiuFenKuHuaLanSe.html,阔腿裤,57f7c9e1f90a8310f062a776
裤装,牛仔裤,黑色,正常,中,正常,长裤,57445,http://item.yohobuy.com/product/pro_342705_439775/KORAKUBLUE648BZiRanShuiXiChiErDanNingHeiNiu.html,,57f7c9e0f90a8310f062a775
裤装,短裤,,正常,中,正常,短裤,56657,http://item.yohobuy.com/product/pro_496896_621484/CHOCOOLATEMENSHORTSDuanKuB1XSPC3128X66.html,,57f7c9e3f90a8310f062a77b
裤装,休闲裤,蓝色,正常,中,宽松,长裤,57037,http://item.yohobuy.com/product/pro_569954_704258/TEEN%20TEAM%20dantiedaizhitongchangku%20,,57f7c9e4f90a8310f062a781
裤装,休闲裤,蓝色,正常,中,束脚,9分裤,56899,http://item.yohobuy.com/product/pro_573582_709182/MOGAO631173016XiuXianKu.html,窄脚裤,57f7c9e4f90a8310f062a784
裤装,休闲裤,蓝色,正常,中,宽松,长裤,56767,http://item.yohobuy.com/product/pro_569964_704268/TEEN%20TEAM%20jinengxiujiaozhitongku%20,,57f7c9e6f90a8310f062a78f
裤装,牛仔裤,,正常,中,正常,9分裤,57197,http://item.yohobuy.com/product/pro_362471_461537/GENANXNiuZaiKuP1261.html,,57f7c9e5f90a8310f062a78e
裤装,休闲裤,黑色,正常,薄,正常,长裤,56745,http://item.yohobuy.com/product/pro_411935_522907/TOPPORTT6330A02G0ZhenZhiChangKu.html,,57f7c9e6f90a8310f062a791
裤装,休闲裤,黑色,正常,中,正常,长裤,56727,http://item.yohobuy.com/product/pro_383233_488203/TOPPORTT6128A04SuoZhiZhenZhiChangKu.html,窄脚裤,57f7c9e7f90a8310f062a796
裤装,休闲裤,黑色,正常,中,正常,9分裤,57247,http://item.yohobuy.com/product/pro_481116_602848/PREPPYELITEPEA6039P79XiuXianJiuFenKu.html,,57f7c9e7f90a8310f062a799
裤装,短裤,黑色,,,,,57043,http://item.yohobuy.com/product/pro_445320_560558/DEFDEF2016SS3P04AJiNengChouDaiZhongKu.html,,57f7c9e7f90a8310f062a798
裤装,短裤,黑色,正常,中,正常,短裤,56897,http://item.yohobuy.com/product/pro_451138_567374/FLOATULINEHeiSeXiuXianKouDaiMianBuKu16UL32.html,工装短裤,57f7c9e7f90a8310f062a797
裤装,短裤,蓝色,正常,薄,正常,短裤,56725,http://item.yohobuy.com/product/pro_499712_624588/ROARINGWILDZhongCangLanSeTieDaiXiuXianDuanKuYing16SSALLENSHORTCST16103202.html,,57f7c9e8f90a8310f062a79b
裤装,休闲裤,黑色,正常,中,正常,长裤,57221,http://item.yohobuy.com/product/pro_533024_662042/PUBLISHChangKuP1601067Hei.html,,57f7c9e8f90a8310f062a7a2
裤装,休闲裤,灰色,正常,中,宽松,长裤,57637,http://item.yohobuy.com/product/pro_592394_731842/islandhaze%202016qiudongxinkuanshishangzhangkuxiuxiankuhalunku%20WSL-P1611.html,哈伦裤,57f7c9e8f90a8310f062a79e
裤装,休闲裤,黑色,正常,中,宽松,长裤,57637,http://item.yohobuy.com/product/pro_592396_731844/islandhaze%202016qiudongxinkuanshishangzhangkuxiuxiankuhalunku%20WSL-P1611.html,哈伦裤,57f7c9e8f90a8310f062a7a1
裤装,短裤,灰色,正常,中,正常,短裤,56505,http://item.yohobuy.com/product/pro_208469_277781/NBASTYLEN152TP493PDuanKu.html,,57f7c9ebf90a8310f062a7a8
裤装,休闲裤,黑色,正常,中,正常,长裤,57249,http://item.yohobuy.com/product/pro_572216_706864/LETSTEEZhenZhiKuaDangKuHeiL163071013_Hei.html,立体剪裁,57f7c9ebf90a8310f062a7a9
裤装,休闲裤,绿色,正常,中,正常,长裤,56543,http://item.yohobuy.com/product/pro_382711_487565/STUSSYChangKu116273.html,,57f7c9ecf90a8310f062a7b0
裤装,休闲裤,灰色,正常,中,正常,长裤,56419,http://item.yohobuy.com/product/pro_301857_386715/ROARINGWILD152025ShenZongSeXiuXianKu.html,,57f7c9edf90a8310f062a7b5
裤装,短裤,,正常,中,正常,短裤,56419,http://item.yohobuy.com/product/pro_316157_406765/THETHING1621210102TiaoWenGongZhuangZhongKu.html,工装短裤,57f7c9edf90a8310f062a7b6
裤装,休闲裤,黑色,正常,中,正常,长裤,56419,http://item.yohobuy.com/product/pro_563972_697072/zippo%20xiuhuazhangweiku%20102091512025.html,束口裤,57f7c9edf90a8310f062a7ba
裤装,短裤,,,薄,正常,短裤,56609,http://item.yohobuy.com/product/pro_464292_582656/OPENYOURMINDMaoDingKouDaiDuanKuDK706565003.html,工装短裤,57f7c9eef90a8310f062a7be
裤装,休闲裤,黑色,正常,中,正常,9分裤,56523,http://item.yohobuy.com/product/pro_513744_640198/AKOPXiuXianJiuFenKuAKOPA6049P16.html,窄脚裤,57f7c9eef90a8310f062a7c0
裤装,休闲裤,灰色,正常,中,正常,7分裤,56439,http://item.yohobuy.com/product/pro_567698_701122/Connive%20yundongfengqifenkukuansongdiaodanghalunkuotuikuhanban%206KZ056.html,哈伦裤,57f7c9eff90a8310f062a7c4
裤装,休闲裤,,正常,薄,正常,长裤,56437,http://item.yohobuy.com/product/pro_530414_658782/SK8NATSU%20nanshifanbuheibaikuantiaowenbeidaiku%20SSCJSM0001BWS16.html,背带裤,57f7c9f0f90a8310f062a7c6
裤装,休闲裤,灰色,正常,中,宽松,长裤,56455,http://item.yohobuy.com/product/pro_567688_701112/Connive%20meishifugukuansonglupirongkuansongkuotuikukuanjiaokudalabashuitongku%206KZ033.html,阔腿裤,57f7c9eff90a8310f062a7c2
裤装,牛仔裤,蓝色,正常,中,正常,长裤,57193,http://item.yohobuy.com/product/pro_380773_485477/HASONanKuanChiErDanNingGongZhuangBeiDaiKu3I41710.html,背带裤,57f7c9f0f90a8310f062a7c7
裤装,短裤,黑色,正常,薄,正常,短裤,56619,http://item.yohobuy.com/product/pro_505546_631250/FAIRWHALEJEANS986221062001JianCaiDiDangJiXiKu.html,,57f7c9f1f90a8310f062a7cc
裤装,牛仔裤,黑色,正常,薄,修身,长裤,56651,http://item.yohobuy.com/product/pro_547878_679266/LEVIESJingDianWuDaiKuanNiuZaiKu248750013.html,窄脚裤,57f7c9f1f90a8310f062a7cd
裤装,休闲裤,彩色,正常,中,束脚,长裤,55973,http://item.yohobuy.com/product/pro_518588_645720/BTW2016SSDARKCAMOPANTSMiCaiShuJiaoXiuXianKuBK1639.html,束口裤,57f7c9f2f90a8310f062a7cf
裤装,休闲裤,灰色,正常,中,正常,长裤,56015,http://item.yohobuy.com/product/pro_530824_659228/DIAMONDSUPPLYCOXiuXianKuA16DBA06.html,,57f7c9f3f90a8310f062a7d3
裤装,休闲裤,黑色,正常,中,正常,长裤,55997,http://item.yohobuy.com/product/pro_546794_677914/TOPPORTSuoZhiChangKuT6828A02G0.html,,57f7c9f3f90a8310f062a7d2
裤装,短裤,,正常,薄,正常,短裤,55975,http://item.yohobuy.com/product/pro_477832_598800/IZZUEIZXSPN6714S66MENSHORTS.html,,57f7c9f3f90a8310f062a7d6
裤装,休闲裤,蓝色,正常,中,正常,长裤,55987,http://item.yohobuy.com/product/pro_493052_617040/LIFEAFTERLIFEXiuXianChangKuLALA603PT142.html,窄脚裤,57f7c9f4f90a8310f062a7d8
裤装,牛仔裤,蓝色,正常,中,正常,长裤,55983,http://item.yohobuy.com/product/pro_492990_616908/LIFEAFTERLIFENiuZaiChangKuLALA603JN171.html,,57f7c9f4f90a8310f062a7d9
裤装,牛仔裤,蓝色,正常,中,正常,长裤,56215,http://item.yohobuy.com/product/pro_250603_326825/DEPOT36215H2C064415C62C06NiuZaiChangKu.html,,57f7c9f4f90a8310f062a7dd
裤装,休闲裤,棕色,正常,中,正常,长裤,56239,http://item.yohobuy.com/product/pro_217813_288835/DIAMONDDIAMONDMINEDJOGGERSLIMFITD14DBH01TAN.html,束口裤,57f7c9f6f90a8310f062a7e3
裤装,牛仔裤,,正常,薄,修身,长裤,56215,http://item.yohobuy.com/product/pro_407755_517735/AGAMEMNONNiuZaiKuAG68041.html,,57f7c9f5f90a8310f062a7de
裤装,休闲裤,黑色,正常,中,正常,9分裤,57725,http://item.yohobuy.com/product/pro_585780_724006/KISSFUNK%20Hyper%20Basic%20kuansongluowenweiku%20KF16AW-HB012-1.html,,57f7c9f6f90a8310f062a7e2
裤装,休闲裤,,正常,中,正常,长裤,55991,http://item.yohobuy.com/product/pro_551728_683484/X1327163017001ZhenZhiXiuXianKu.html,,57f7c9f6f90a8310f062a7e0
裤装,连体裤,蓝色,,,,,56301,http://item.yohobuy.com/product/pro_513714_640122/AKOPTaoZhuangAKOPA603AM11.html,,57f7c9f6f90a8310f062a7e5
裤装,牛仔裤,蓝色,正常,薄,正常,长裤,56225,http://item.yohobuy.com/product/pro_461354_579322/HASO2016ChunXiaXinKuanNanShiShenLanSeXiuXianZhiTongNiuZaiChangKu3J11614.html,,57f7c9f6f90a8310f062a7e6
裤装,短裤,,正常,中,正常,短裤,56311,http://item.yohobuy.com/product/pro_513818_640312/VALKOMMDuoDaiGongZhuangDuanKu15SHT2204MiCai.html,工装短裤,57f7c9f7f90a8310f062a7e7
裤装,休闲裤,,正常,中,正常,长裤,56645,http://item.yohobuy.com/product/pro_562628_695654/AGAMEMNONXHKBEEMAXXiuXianKuXiuXianKuHKKC2104.html,,57f7c9f7f90a8310f062a7e8
